first_gene,second_gene
15,1773
15,2509
18,1221
18,1765
18,2801
18,4651
18,5057
18,5198
18,5996
18,6730
18,6857
18,7095
19,32
19,33
19,872
19,906
19,1195
19,1737
19,1813
19,2770
19,2773
19,2774
19,3033
19,3034
19,3036
19,4064
19,4426
19,4499
19,5171
19,5534
19,5697
19,6702
19,6784
19,7069
19,7077
19,7079
20,24
20,785
20,906
20,1813
20,3036
20,5898
20,6714
20,7069
20,7077
23,24
24,20
24,23
24,32
24,33
24,785
24,872
24,906
24,1354
24,1737
24,1813
24,2262
24,2771
24,2773
24,2774
24,3034
24,3036
24,5280
24,5696
24,5898
24,6546
24,6714
24,6715
24,6784
24,7069
32,19
32,24
32,33
32,34
32,906
32,1195
32,1737
32,1813
32,2770
32,2773
32,2774
32,4064
32,5201
32,6702
32,6714
32,7069
33,19
33,24
33,32
33,34
33,872
33,906
33,996
33,1195
33,1212
33,1737
33,1813
33,2770
33,2771
33,2773
33,2774
33,3036
33,4014
33,4064
33,4065
33,4499
33,4596
33,4625
33,4736
33,5171
33,5252
33,5280
33,5696
33,5697
33,5898
33,6702
33,6714
33,6715
33,6784
33,7069
33,7077
34,32
34,33
34,35
34,2774
34,4064
35,34
36,37
36,5923
37,36
37,5923
38,39
38,40
38,50
39,38
39,40
39,50
40,38
40,39
40,50
40,51
41,42
41,43
41,4816
41,5941
41,6126
42,41
42,44
42,45
42,214
42,342
42,882
42,1010
42,1061
42,1540
42,1801
42,2290
42,2363
42,2785
42,3662
42,3970
42,4513
42,5941
42,6057
42,6086
42,6573
42,6731
42,7036
42,7050
42,7095
42,7100
43,41
43,7095
44,42
44,45
44,5397
44,6191
44,7094
45,42
45,44
45,214
45,342
45,882
45,1061
45,1073
45,1540
45,1801
45,2290
45,2363
45,3047
45,3970
45,4513
45,5397
45,6057
45,6191
45,6731
45,7036
45,7094
46,5922
47,48
47,4023
47,5088
47,5406
48,47
48,49
48,166
48,1170
48,2584
48,2996
48,4023
48,4088
48,4408
48,5120
48,5224
48,5899
48,5949
48,5951
48,5953
48,6088
48,6103
48,6246
48,6301
48,6794
48,7126
49,48
49,721
49,2584
49,4023
50,38
50,39
50,40
50,51
51,40
51,50
56,1052
58,414
58,651
58,762
58,926
58,1277
58,2848
58,3224
58,3231
58,3285
58,4342
58,4691
58,4773
58,5096
58,5697
58,6106
58,6284
58,6588
58,6681
58,6766
58,6985
59,5416
61,4455
64,91
64,199
64,228
64,417
64,532
64,558
64,581
64,591
64,634
64,971
64,1444
64,1447
64,1896
64,1905
64,1933
64,2083
64,2347
64,2625
64,2712
64,2908
64,3062
64,3181
64,3354
64,3415
64,3506
64,3560
64,3974
64,4029
64,4152
64,4329
64,4471
64,4974
64,5253
64,5262
64,5273
64,5568
64,6119
64,6515
66,346
66,585
71,181
71,438
71,684
71,711
71,1489
71,4920
78,525
78,798
78,853
78,3141
78,3243
78,4691
78,5889
78,6337
78,6588
78,6635
78,6766
84,5497
87,2120
87,6917
89,91
91,64
91,89
91,162
91,170
91,228
91,437
91,503
91,581
91,591
91,639
91,815
91,1229
91,1447
91,1896
91,2347
91,2625
91,2712
91,3039
91,3062
91,4152
91,4253
91,4329
91,4534
91,4763
91,5253
91,5262
91,5408
91,5599
109,4068
109,5797
118,1832
119,2590
119,3236
119,5962
132,154
132,434
138,833
143,169
143,233
143,558
143,684
143,1583
143,1997
143,3687
147,414
147,762
147,2613
148,170
148,228
148,287
148,607
148,699
148,1305
148,1618
148,1620
148,2275
148,2347
148,2427
148,2625
148,2908
148,3055
148,3118
148,3506
148,3687
148,3721
148,4086
148,4229
148,4327
148,4329
148,4471
148,4534
148,4568
148,4581
148,4974
148,5300
148,5500
148,5599
148,6572
148,6853
154,132
154,219
154,331
154,351
154,485
154,793
154,1018
154,1086
154,1153
154,2034
154,2130
154,3109
154,3136
154,3407
154,3860
154,4168
154,5624
154,5677
154,6020
154,6544
156,6200
162,91
162,227
162,274
162,322
162,385
162,505
162,639
162,793
162,970
162,971
162,1153
162,1429
162,1933
162,2001
162,2418
162,2911
162,3039
162,3415
162,3692
162,4129
162,4133
162,4152
162,4253
162,4271
162,4272
162,4329
162,4537
162,4544
162,5253
162,5262
162,5273
162,5408
162,5624
162,5667
162,5937
162,6119
162,6267
162,6376
162,6955
165,201
165,283
165,1098
165,1129
165,4086
165,4261
165,4665
165,5599
166,48
166,311
166,1170
166,1463
166,1709
166,1848
166,2077
166,2584
166,2996
166,4058
166,4088
166,4408
166,4594
166,5120
166,5224
166,5227
166,5659
166,5899
166,5949
166,5951
166,5953
166,6103
166,6301
166,6335
166,6765
166,6794
166,6882
166,7126
167,168
