first_gene,second_gene
18,1221
18,1765
18,4651
18,5057
18,5996
18,6730
19,906
19,6702
32,33
33,32
33,34
33,2774
34,33
34,35
35,34
37,5923
38,39
38,40
38,50
39,38
39,40
39,50
40,38
40,39
40,50
42,45
42,214
42,2290
42,3970
42,7036
44,45
44,7094
45,42
45,44
46,5922
48,4023
50,38
50,39
50,40
50,51
51,50
154,3860
162,227
162,2001
162,4152
162,6376
162,6955
166,2996
166,4408
166,5951
166,5953
166,7126
170,228
170,437
194,6595
214,42
227,162
227,2001
227,6376
228,170
228,1305
228,2347
228,3055
228,4534
228,5253
228,5568
331,1153
331,1276
331,1419
414,762
414,2613
437,170
437,3055
503,508
503,1824
508,503
508,1824
607,2427
613,1797
613,2257
613,6223
696,3659
716,5300
718,1738
757,2009
757,2334
757,2641
757,4679
757,5687
757,6224
759,1156
759,1881
759,1952
759,2136
759,2287
759,3251
759,4372
759,5975
759,6377
759,6917
762,414
762,2613
762,3775
788,3001
798,997
798,3666
798,4096
803,4210
834,6211
873,1952
875,3188
877,1896
877,3055
877,3136
906,19
906,1737
906,2770
906,2774
906,4499
906,6702
906,7069
930,4979
992,1472
997,798
997,6835
1009,1669
1009,6572
1022,6706
1077,2334
1077,5500
1077,6853
1080,3136
1080,5568
1112,4248
1153,331
1156,759
1156,1952
1156,5975
1158,5687
1184,5734
1195,2774
1195,4499
1195,6702
1206,6509
1221,18
1221,2801
1221,4651
1221,5996
1276,331
1305,228
1345,5660
1358,4991
1375,5464
1419,331
1472,992
1648,3335
1669,1009
1673,5536
1737,906
1737,2770
1737,2774
1737,4064
1737,7069
1738,718
1746,7069
1765,18
1765,4651
1765,5057
1797,613
1797,6223
1801,3343
1803,2802
1803,4722
1813,2773
1813,2774
1813,4064
1813,6784
1813,7069
1813,7077
1824,503
1824,508
1826,1896
1826,3055
1833,2287
1833,3251
1862,2014
1867,4425
1868,3188
1881,759
1881,2287
1896,877
1896,1826
1896,2347
1896,3055
1896,4534
1952,759
1952,873
1952,1156
1952,2829
1952,5975
2001,162
2001,227
2009,757
2013,2496
2013,6724
2014,1862
2051,5686
2090,7071
2115,2322
2115,5134
2136,759
2257,613
2287,759
2287,1833
2287,1881
2287,3251
2287,4372
2287,6917
2290,42
2322,2115
2334,757
2334,1077
2334,2641
2334,4317
2334,4679
2334,5170
2334,5687
2334,6224
2334,6853
2347,228
2347,1896
2347,2625
2347,3055
2347,3136
2347,4534
2427,607
2427,6572
2496,2013
2565,6722
2584,2996
2591,3004
2591,3162
2591,6199
2591,6200
2591,6354
2613,414
2613,762
2613,3775
2613,6681
2613,6710
2625,2347
2641,757
2641,2334
2641,4679
2641,5170
2641,6224
2641,6853
2720,2802
2770,906
2770,1737
2770,2774
2770,4064
2770,6702
2773,1813
2773,3034
2773,5280
2773,6784
2773,7069
2774,33
2774,906
2774,1195
2774,1737
2774,1813
2774,2770
2774,4064
2774,4147
2774,4499
2774,6702
2774,7069
2801,1221
2802,1803
2802,2720
2802,5095
2804,6322
2829,1952
2829,4372
2829,5241
2908,4534
2908,4723
2955,3335
2955,5331
2955,6515
2996,166
2996,2584
2996,4408
2996,4594
2996,5951
2996,5953
3001,788
3004,2591
3034,2773
3039,5253
3055,228
3055,437
3055,877
3055,1826
3055,1896
3055,2347
3055,3136
3055,4534
3107,5170
3107,5687
3136,877
3136,1080
3136,2347
3136,3055
3136,4534
3136,4545
3162,2591
3162,6200
3188,875
3188,1868
3251,759
3251,1833
3251,2287
3335,1648
3335,2955
3335,4290
3335,4722
3343,1801
3343,7100
3360,4248
3460,4367
3492,3949
3506,3560
3560,3506
3657,4737
3657,5486
3659,696
3666,798
3666,5995
3666,6337
3666,6964
3666,7011
3721,6853
3775,762
3775,2613
3806,4545
3860,154
3949,3492
3970,42
3970,7050
3974,6515
4000,6595
4007,4317
4011,4467
4016,4041
4016,4378
4016,6167
4016,6322
4016,6787
4016,7048
4016,7068
4023,48
4041,4016
4041,4378
4041,6167
4041,6322
4041,6787
4041,7048
4041,7068
4049,4054
4049,4341
4049,5542
4049,6509
4054,4049
4064,1737
4064,1813
4064,2770
4064,2774
4064,6702
4096,798
4096,6454
4106,4846
4127,4162
4127,4531
4127,4722
4127,5939
4147,2774
