first_gene,second_gene
18,1221
18,1765
18,4651
18,5057
18,5198
18,5996
18,6730
19,906
19,1813
19,2774
19,4064
19,6702
19,7077
24,1813
24,7069
32,33
32,34
32,906
32,2774
33,32
33,34
33,1813
33,2774
33,4064
33,6702
33,6714
34,32
34,33
34,35
35,34
37,5923
38,39
38,40
38,50
39,38
39,40
39,50
40,38
40,39
40,50
42,45
42,214
42,342
42,1540
42,2290
42,2363
42,3970
42,4513
42,6057
42,6573
42,7036
44,45
44,7094
45,42
45,44
45,2290
45,4513
45,7094
46,5922
47,48
48,47
48,49
48,4023
48,5953
49,48
50,38
50,39
50,40
50,51
51,50
64,971
64,4329
64,5262
66,346
91,5253
91,5262
148,5599
154,485
154,2034
154,3860
162,227
162,274
162,1153
162,2001
162,4152
162,4329
162,4544
162,5253
162,6376
162,6955
166,311
166,1709
166,2077
166,2584
166,2996
166,4058
166,4408
166,4594
166,5120
166,5949
166,5951
166,5953
166,6103
166,6794
166,7126
168,1736
170,228
170,437
170,877
170,1620
170,2347
170,3055
170,4086
170,4534
194,2255
194,4127
194,4290
194,6595
199,3354
199,4534
214,42
214,2290
225,811
227,162
227,2001
227,6376
228,170
228,437
228,584
228,1244
228,1305
228,1447
228,1618
228,1620
228,1896
228,2347
228,2908
228,3055
228,3136
228,4229
228,4471
228,4534
228,4581
228,5253
228,5300
228,5500
228,5568
228,5599
228,6346
231,570
234,759
234,1724
234,2287
234,3251
234,4106
234,4228
234,6375
240,503
273,839
274,162
274,4152
274,4544
305,3062
311,166
311,1709
311,4408
311,6794
311,7126
324,1510
331,1153
331,1276
331,1419
331,3860
331,6731
342,42
342,3970
342,5941
346,66
346,798
351,4830
367,853
367,3364
367,5565
367,6560
367,6766
377,2329
384,1118
395,5487
395,6361
402,6515
405,3711
406,759
406,1092
406,1156
406,1952
406,2136
406,2257
406,2829
406,5975
414,762
414,2613
414,3775
422,558
437,170
437,228
437,440
437,877
437,1620
437,1826
437,1896
437,3055
437,3136
437,4534
438,5094
440,437
440,1124
440,1826
440,4511
466,4130
466,5241
485,154
485,3860
503,240
503,508
503,1824
503,2803
503,3136
503,4367
503,4534
505,1153
505,5624
508,503
508,1824
508,2830
531,4974
532,3560
537,3136
537,4152
537,5253
538,743
542,5167
558,422
558,3756
570,231
570,1278
570,5820
570,6668
584,228
584,1080
584,1618
584,6622
585,798
606,6635
607,716
607,1618
607,1905
607,2427
607,3777
607,5300
607,5327
613,1797
613,2257
613,6223
625,4168
629,5975
639,2001
672,4127
696,3659
702,4378
702,4585
716,607
716,5300
716,5568
718,1738
743,538
752,5300
757,1684
757,2009
757,2013
757,2334
757,2641
757,4317
757,4679
757,5500
757,5687
757,6224
757,6724
757,6853
759,234
759,406
759,1156
759,1833
759,1881
759,1952
759,2120
759,2136
759,2287
759,2401
759,2829
759,3251
759,4372
759,5832
759,5975
759,6377
759,6804
759,6917
762,414
762,2613
762,3775
762,4691
762,6681
762,6710
785,7069
788,964
788,3001
798,346
798,585
798,990
798,997
798,1358
798,2025
798,3666
798,4096
798,4866
798,4869
798,6337
798,6635
798,7011
803,2353
803,4210
803,6853
804,2492
810,5224
810,6765
810,6882
811,225
815,5253
834,910
834,930
834,990
834,1083
834,4691
834,6211
839,273
853,367
853,3141
853,6766
871,1792
871,6658
872,7069
873,1952
873,6375
875,3188
877,170
877,437
877,1080
877,1896
877,2347
877,3055
877,3136
877,4534
877,4545
877,6280
906,19
906,32
906,1195
906,1737
906,1813
906,2770
906,2774
906,4064
906,4499
906,6702
906,7069
910,834
910,1083
910,2329
910,3666
910,5995
921,3162
921,6377
926,3775
930,834
930,4979
964,788
964,3001
964,3315
971,64
971,4329
973,6635
975,1892
975,4049
975,4054
990,798
990,834
990,2848
990,3243
990,3666
990,4096
990,6425
990,6971
992,1472
992,1489
992,2165
992,2946
992,4127
992,4531
992,4722
992,6595
997,798
997,999
997,2505
997,2706
997,3666
997,4636
997,4869
997,4979
997,5209
997,5871
997,6136
997,6581
997,6584
997,6835
999,997
999,6835
1009,1669
1009,6572
1018,3860
1022,6706
1027,3520
1063,2155
1077,2334
1077,2427
1077,2641
1077,4462
1077,4679
1077,5500
1077,6572
1077,6853
1080,584
1080,877
1080,1826
